Email Addresses,company names,address
info@hashroot.comwww.hashroot.com,Acube Innovations Private Limited,"Infopark TBC,JNI Stadium,Kochi - 682017acubeinnovations.com"
info@heidelsoft.dewww.heidelsoft.com,Virtual Sys Technologies,"Infopark, C1-5, Pallipuram,K.R.Puram .P.O Cherthala, Pin:688556 Alappuzha Kerala Phone:0478-2554004virtualsystechnologies.com"
info@inntot.comwww.inntot.com,2Base Technologies Pvt Ltd,"11C, Tower 1, TransAsia Cyber Park,Infopark Phase II SEZ,Infopark Campus,Kochi, KL, India - 682303www.2basetechnologies.com"
careers@jtsiindia.comwww.jtsiindia.com,2Hats Logic Solutions Pvt. Ltd.,"Wing – 1, 4th FloorJyothirmaya BuildingInfopark Phase II,Brahmapuram, P.O.Kochi – 682303www.2hatslogic.com"
contact@lanwaresolutions.com,42Square Technologies,"Office No.9,Tower 1, 9th Floor,Trans Asia Cyber Park,Infopark Phase-IIwww.42square.ai"
contact@marlabs.com,9Commerce Technologies,"Unit No VII B, 7th Floor, Phase III BuildingCarnival Infopark, Kakkanad, Kochi – 682042www.commerce9.io"
careers@mitsogo.comwww.mitsogo.com,Aabasoft Technologies India Private Limited,"VismayaInfoparkKakkanad, KochiKerala - Indiawww.aabasoft.com"
info@ots.work,Aarbee Structures Pvt.Ltd,"Aarbee Structures Pvt.Ltd.#205, 2nd FloorWorld Trade Center, Infopark SEZPhase 1, Kakkanad,Kochi,682042, Kerala, Indiawww.aarbeestructures.com"
info@rexav.inwww.rexavllp.com,Aatoon Solutions,"Unit IB, 1st Floor,Carnival Infopark Phase 2,Infopark Kochi P.O,Kerala, India - 682042www.aatoon.com"
info@ridgecone.comwww.ridgecone.com,Acabes International Pvt. Ltd.,"9B-2, Jyothirmaya,Phase II, Infopark Kochi.www.acabesinternational.com"
career@servsys.comwww.servsys.com,ACCRUON TECHNOLOGIES Pvt Ltd,"Ground Floor, Carnival Infopark.Phase 1, Kakkanad, Kochi – 682042www.accruontechnologies.com"
info@techaventure.comwww.techaventure.com,Acemoney,"Aceware FinTech Services Private Limitedinfopark TBC,JNI Stadium,Kaloor,Cochin-682017https://www.acemoney.in"
contact@techxora.comwww.techxora.com,adesso India Private Ltd,"2A-5, 2nd Floor, Jyothirmaya, Infopark Phase II, Kakkanad, Kochiwww.adesso.in"
info@itvoyager.comwww.itvoyager.com,Admaren Tech Pvt Ltd,"18th Floor, Tower 2,Trans Asia Cyber Park,Info Park SEZ Phase II,Ambalamedu P.O, Puthencruz, Kerala – 682303admaren.com"
info@webandcrafts.comwww.webandcrafts.com,Advenser Engineering Services Private Limited,"No.403, 4th Floor,Lulu Cyber Tower,Infopark, Sez, Kakkanad,Kerala, India, Pin – 682 042www.advenser.com"
admin@windfallProductions.orgMajor,"Affiliated Computer Services of India, A Xerox Company","Vismay Buliding, 2nd Floor,Info Park, Kakkanad,Cochin - 682030, Keralawww.xerox.com"
hello@woxro.comwww.woxro.com,AFI Technologies Pvt. Ltd.,"2nd floor, Leela Infopark,Infopark campus, Kakkanadu,Cochin, Kerala, India-682 030www.afitech.in"
HR@zaparetech.com,Airo Global Software Pvt Ltd,"Smart Business Center 1,Second FloorThapasya Building,Infopark Phase 1Kochi 682042www.airoglobal.com"
